BestellNr,FilialeNr,Transfer,Datum,Art,Lieferant,Artikel,ReferenzNr,ModellCode,FarbeCode,Modell,Farbe,Größe,Liefertermin,Bestellt,bestellen,stornieren,geliefert,Bestellmenge,Abrufmenge,Liefermenge,Etikettenmenge,Preis,Netto,Rabatt1,Rabatt2,ReservierteMenge,Kunde,zugesagtBis,Versand,Versandadresse,Bemerkung,anmahnen,angemahntAm,Verkäufer,BestellprotokollNr,gedruckt,Code,s_Key,s_Status
243444,0,,"2023-11-09 00:00:00",1,11,5187,16749,2000016589,,"CO Coleman Fuel",,"1000 ml",,,1,0,0,12.0,,,,6.27,0,0.15,,,,,0,,,0,,,0,0,,,0
249480,0,,"2024-08-30 00:00:00",1,21,37170,95203,74432,,"Spider Pick",,L,,,1,0,0,1.0,,,,32.43,0,0.03,,,,,0,,,0,,,0,0,,,0
249495,0,,"2024-08-31 00:00:00",1,21,46782,132395,74326,,"Jayne Wm",granita,M,,,1,0,0,1.0,,,,35.14,0,0.03,,,,,0,,,0,,,0,0,,,0
249496,0,,"2024-08-31 00:00:00",1,21,46782,132396,74326,,"Jayne Wm",granita,L,,,1,0,0,1.0,,,,35.14,0,0.03,,,,,0,,,0,,,0,0,,,0
249479,0,,"2024-08-30 00:00:00",1,21,37170,139679,74432,,"Spider Pick",,M,,,1,0,0,1.0,,,,32.43,0,0.03,,,,,0,,,0,,,0,0,,,0
249478,0,,"2024-08-30 00:00:00",1,21,37170,95202,74432,,"Spider Pick",,S,,,1,0,0,1.0,,,,32.43,0,0.03,,,,,0,,,0,,,0,0,,,0
249596,0,,"2024-09-06 00:00:00",1,21,46789,132454,74333,,Finn,icemint,XXS,,,1,0,0,1.0,,,,29.73,0,0.03,,,,,0,,,0,,,0,0,,,0
249493,0,,"2024-08-30 00:00:00",1,21,30749,70237,71733,,"Standplatzschlinge, verstellbar",slate,-,,,1,0,0,2.0,,,,18.92,0,0.03,,,,,0,,,0,,,0,0,,,0
249597,0,,"2024-09-06 00:00:00",1,21,46790,132457,74333,,Finn,oasis,XS,,,1,0,0,1.0,,,,29.73,0,0.03,,,,,0,,,0,,,0,0,,,0
247947,0,,"2024-06-27 00:00:00",2,24,49100,140951,87176R,,"Keb Trousers REG",black,"50 Herren","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,118.3,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247949,0,,"2024-06-27 00:00:00",2,24,49100,140953,87176R,,"Keb Trousers REG",black,"54 Herren","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,118.3,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247957,0,,"2024-06-27 00:00:00",2,24,34366,83434,89638,,"Nikka Trouser Curved Wm",black,"34 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247946,0,,"2024-06-27 00:00:00",2,24,53410,157406,87084,,"Singi X-Trousers","wood brown","56 Herren","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,137.9,0,0.1285,,,,,0,,,0,,,18751,0,,,0
247959,0,,"2024-06-27 00:00:00",2,24,34366,83436,89638,,"Nikka Trouser Curved Wm",black,"38 Damen","2024-09-15 00:00:00","2024-01-10 00:00:00",0,0,0,1.0,,,,98.7,0,0.1285,,,,,0,,,0,,,18751,0,,,0
